iter	Passed	Remaining
693	991	437
694	993	435
695	994	434
696	995	432
697	996	431
698	997	429
699	998	428
700	999	426
701	1001	425
702	1002	423
703	1003	421
704	1004	420
705	1005	418
706	1006	416
707	1007	415
708	1008	413
709	1009	412
710	1010	410
711	1011	408
712	1012	407
713	1012	405
714	1014	404
715	1016	403
716	1017	401
717	1018	399
718	1018	398
719	1019	396
720	1020	395
721	1021	393
722	1022	391
723	1023	390
724	1024	388
725	1025	387
726	1026	385
727	1028	384
728	1029	382
729	1030	381
730	1031	379
731	1032	378
732	1033	376
733	1035	375
734	1036	373
735	1037	372
736	1038	370
737	1039	369
738	1040	367
739	1041	366
740	1042	364
741	1043	362
742	1044	361
743	1045	359
744	1046	358
745	1047	356
746	1048	355
747	1049	353
748	1050	352
749	1051	350
750	1052	349
751	1053	347
752	1054	345
753	1056	344
754	1057	343
755	1058	341
756	1059	340
757	1060	338
758	1061	336
759	1062	335
760	1063	334
761	1064	332
762	1065	330
763	1066	329
764	1068	328
765	1069	326
766	1070	325
767	1071	323
768	1072	322
769	1073	320
770	1074	319
771	1075	317
772	1076	316
773	1077	314
774	1078	313
775	1079	311
776	1080	310
777	1081	308
778	1083	307
779	1084	305
780	1085	304
781	1086	302
782	1086	301
783	1087	299
784	1088	298
785	1089	296
786	1090	295
787	1091	293
788	1093	292
789	1094	290
790	1095	289
791	1097	288
792	1098	286
793	1099	285
794	1100	283
795	1101	282
796	1102	280
797	1103	279
798	1104	277
799	1105	276
800	1106	275
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1113	266
807	1114	264
808	1115	263
809	1116	261
810	1117	260
811	1118	258
812	1119	257
813	1120	255
814	1121	254
815	1122	253
816	1123	251
817	1124	250
818	1125	248
819	1126	247
820	1127	245
821	1128	244
822	1129	242
823	1131	241
824	1131	240
825	1132	238
826	1133	237
827	1134	235
828	1136	234
829	1137	232
830	1138	231
831	1139	230
832	1140	228
833	1141	227
834	1142	225
835	1143	224
836	1144	222
837	1146	221
838	1147	220
839	1148	218
840	1149	217
841	1150	215
842	1151	214
843	1153	213
844	1154	211
845	1155	210
846	1156	208
847	1157	207
848	1158	205
849	1159	204
850	1160	203
851	1161	201
852	1162	200
853	1163	198
854	1164	197
855	1165	196
856	1166	194
857	1168	193
858	1169	191
859	1170	190
860	1171	189
861	1172	187
862	1173	186
863	1174	184
864	1175	183
865	1176	182
866	1177	180
867	1178	179
868	1179	177
869	1180	176
870	1181	175
871	1182	173
872	1183	172
873	1184	170
874	1185	169
875	1186	167
876	1187	166
877	1188	165
878	1189	163
879	1191	162
880	1192	161
881	1193	159
882	1194	158
883	1195	156
884	1196	155
885	1197	154
886	1198	152
887	1199	151
888	1200	149
889	1201	148
890	1202	147
891	1204	145
892	1205	144
893	1206	143
894	1207	141
895	1208	140
896	1209	138
897	1210	137
898	1211	136
899	1212	134
900	1213	133
901	1214	131
902	1215	130
903	1216	129
904	1218	127
905	1219	126
906	1220	125
907	1221	123
908	1222	122
909	1223	120
910	1224	119
911	1225	118
912	1226	116
913	1227	115
914	1228	114
915	1229	112
916	1231	111
917	1232	110
918	1233	108
919	1234	107
920	1235	105
921	1236	104
922	1237	103
923	1238	101
924	1239	100
925	1240	99
926	1241	97
927	1242	96
928	1243	95
929	1245	93
930	1246	92
931	1247	90
932	1248	89
933	1249	88
934	1249	86
935	1250	85
936	1251	84
937	1252	82
938	1253	81
939	1254	80
940	1255	78
941	1256	77
942	1258	76
943	1259	74
944	1260	73
945	1261	71
946	1262	70
947	1263	69
948	1264	67
949	1265	66
950	1266	65
951	1267	63
952	1268	62
953	1269	61
954	1270	59
955	1272	58
956	1273	57
957	1274	55
958	1275	54
959	1276	53
960	1277	51
961	1278	50
962	1279	49
963	1280	47
964	1281	46
965	1282	45
966	1283	43
967	1285	42
968	1286	41
969	1287	39
970	1287	38
971	1288	37
972	1289	35
973	1290	34
974	1291	33
975	1292	31
976	1293	30
977	1295	29
978	1296	27
979	1297	26
980	1298	25
981	1300	23
982	1301	22
983	1302	21
984	1303	19
985	1304	18
986	1305	17
987	1306	15
988	1306	14
989	1307	13
990	1309	11
991	1310	10
992	1312	9
993	1313	7
994	1314	6
995	1315	5
996	1316	3
997	1317	2
998	1318	1
999	1319	0
